LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q4;Q4-2019;SEK;Swedish Krona;6;Millions;2021;2021;349310;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q1;Q1-2020;SEK;Swedish Krona;6;Millions;2021;2021;346045;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q2;Q2-2020;SEK;Swedish Krona;6;Millions;2021;2021;337457;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q3;Q3-2020;SEK;Swedish Krona;6;Millions;2021;2021;342994;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q4;Q4-2020;SEK;Swedish Krona;6;Millions;2021;2021;345012;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q1;Q1-2021;SEK;Swedish Krona;6;Millions;2021;2021;350201;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q2;Q2-2021;SEK;Swedish Krona;6;Millions;2021;2021;352427;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q3;Q3-2021;SEK;Swedish Krona;6;Millions;2021;2021;350612;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q4;Q4-2021;SEK;Swedish Krona;6;Millions;2021;2021;351268;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q1;Q1-2022;SEK;Swedish Krona;6;Millions;2021;2021;350211;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q2;Q2-2022;SEK;Swedish Krona;6;Millions;2021;2021;349151;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q3;Q3-2022;SEK;Swedish Krona;6;Millions;2021;2021;350496;;
