LOCATION;Country;TRANSACTION;Transaction;SECTOR;Sector;MEASURE;Measure;ADJUSTED;Adjusted;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2019-Q4;Q4-2019;PC;Percentage;0;Units;;;54.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2020-Q1;Q1-2020;PC;Percentage;0;Units;;;55.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2020-Q2;Q2-2020;PC;Percentage;0;Units;;;58;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2020-Q3;Q3-2020;PC;Percentage;0;Units;;;58.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2020-Q4;Q4-2020;PC;Percentage;0;Units;;;61;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2021-Q1;Q1-2021;PC;Percentage;0;Units;;;61.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2021-Q2;Q2-2021;PC;Percentage;0;Units;;;59.6;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2021-Q3;Q3-2021;PC;Percentage;0;Units;;;56.9;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2021-Q4;Q4-2021;PC;Percentage;0;Units;;;57.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2022-Q1;Q1-2022;PC;Percentage;0;Units;;;56.1;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2022-Q2;Q2-2022;PC;Percentage;0;Units;;;54.6;;
